Language,Model,Tokens,Spearman's Rho
english,UG_Student_Intern,1250000,0.24719900799947728
english,temporal_attention,1250000,-0.03094433625317198
english,UWB,1250000,0.24708044732417778
english,UG_Student_Intern,1250000,0.20487284691755242
english,temporal_attention,1250000,0.3619657416894025
english,UWB,1250000,0.21186792676022345
english,UG_Student_Intern,1250000,0.2251467223937685
english,temporal_attention,1250000,0.42729267377943214
english,UWB,1250000,0.3365937571753074
english,UG_Student_Intern,1250000,0.2757721307466591
english,temporal_attention,1250000,0.42515858162404097
english,UWB,1250000,0.2362914258719224
english,UG_Student_Intern,1250000,0.2910664578602958
english,temporal_attention,1250000,0.6921572223985364
english,UWB,1250000,0.28276721058933013
english,UG_Student_Intern,1250000,0.23712135059901895
english,temporal_attention,1250000,0.42338017149454843
english,UWB,1250000,0.23178612021054104
english,UG_Student_Intern,1250000,0.3151342749460962
english,temporal_attention,1250000,0.4018021285900376
english,UWB,1250000,0.35817180007981814
english,UG_Student_Intern,1250000,0.3338668616434187
english,temporal_attention,1250000,0.30043275120895707
english,UWB,1750000,0.22799217860095675
english,UG_Student_Intern,1750000,0.2410338528839028
english,temporal_attention,1750000,0.45195329424173014
english,UWB,1750000,0.2923706252885904
english,UG_Student_Intern,1750000,0.40998281518570384
english,temporal_attention,1750000,0.40203924994063667
english,UWB,1750000,0.2709111430593792
english,UG_Student_Intern,1750000,0.22573952577026607
english,temporal_attention,1750000,0.37702294745244014
english,UWB,1750000,0.27565357007135954
english,UG_Student_Intern,1750000,0.27292667453947084
english,temporal_attention,1750000,0.5338787208736913
english,UWB,1750000,0.3509395988865481
english,UG_Student_Intern,1750000,0.3020926006631502
english,temporal_attention,1750000,-0.010314778751057326
english,UWB,1750000,0.3294801166573369
english,UG_Student_Intern,1750000,0.2150690649933102
english,temporal_attention,1750000,0.531981750068899
english,UWB,1750000,0.2927263073144889
english,UG_Student_Intern,1750000,0.3737032485440539
english,temporal_attention,1750000,0.34453732242037455
english,UWB,1750000,0.20333155813865877
english,UG_Student_Intern,1750000,0.2974687343264693
english,temporal_attention,1750000,0.47258285174384485
english,UWB,1750000,0.2614262890354184
english,UG_Student_Intern,1750000,0.25324560243975225
english,temporal_attention,1750000,0.2123421694614215
english,UWB,1750000,0.16349517123802357
english,UG_Student_Intern,1750000,0.20250163341156222
english,temporal_attention,1750000,0.5414666040928597
english,UWB,2250000,0.2572766653999356
english,UG_Student_Intern,2250000,0.22811073927625627
