Language,Model,Tokens,Spearman's Rho
english,temporal_attention,5750000,0.32402632559355943
english,temporal_attention,5750000,0.28253008923873113
english,temporal_attention,5750000,0.2477918113759748
english,temporal_attention,5750000,0.3498725528088525
english,temporal_attention,6250000,0.2473175686747768
english,temporal_attention,6250000,0.14914932952678295
english,temporal_attention,6250000,0.3030410860655463
english,temporal_attention,6250000,0.27458652399366396
english,temporal_attention,6250000,0.22052285605708763
english,temporal_attention,6250000,0.43405063227150426
english,temporal_attention,6250000,0.36149149898820443
english,temporal_attention,6250000,0.48941846763637514
english,temporal_attention,6250000,0.33528958974701284
english,temporal_attention,6250000,0.4143695601717856
