Language,Model,Spearman's Rho
english,temporal_attention,0.2964016882487737
english,UWB,0.027624637344785707
english,UG_Student_Intern,-0.03272274638266462
english,temporal_attention,0.2246724796925705
english,UWB,0.017902661970225935
english,UG_Student_Intern,0.12958681810236386
english,temporal_attention,0.36232142371530096
english,UWB,0.04031062960183323
english,UG_Student_Intern,0.1484379654749859
english,temporal_attention,0.39694114090275784
english,UWB,-0.03758373406994451
english,UG_Student_Intern,0.06425988601233414
english,temporal_attention,0.39030174308598525
english,UWB,0.2213527807841842
english,UG_Student_Intern,0.03367123178506069
english,temporal_attention,0.27766910155145125
english,UWB,0.16017547232963733
english,UG_Student_Intern,-0.009603414699260269
english,temporal_attention,0.41780781975547143
english,UWB,0.0911731593053228
english,UG_Student_Intern,-0.028454562071882277
english,temporal_attention,0.22443535834197148
english,UWB,0.18317624333774216
english,UG_Student_Intern,0.06366708263583659
english,temporal_attention,0.19159405128400733
english,UWB,0.1049261976400659
english,UG_Student_Intern,0.11571521909232127
english,temporal_attention,0.46736618203066643
english,UWB,0.0462386633668087
english,UG_Student_Intern,0.112632641534534
english,temporal_attention,0.20309443678805975
english,UWB,0.2276364965750582
english,UG_Student_Intern,0.07990989515186939
english,temporal_attention,0.03556820258985284
english,UWB,0.06319283993463856
english,UG_Student_Intern,0.01588713049013427
english,temporal_attention,0.2556168159457424
english,UWB,0.13053530350475995
english,UG_Student_Intern,0.06651253884302483
english,temporal_attention,0.12437014838918543
english,UWB,0.12970537877766336
english,UG_Student_Intern,0.15567016666825598
english,temporal_attention,0.3275831458525447
english,UWB,0.07682731759408215
english,UG_Student_Intern,-0.057501927520262106
english,temporal_attention,0.26415318456730713
english,UWB,0.20155314800916616
english,UG_Student_Intern,0.02134092155391171
english,temporal_attention,0.3600687708846103
english,UWB,0.3023297220137492
english,UG_Student_Intern,0.11642658314411831
english,temporal_attention,0.20973383460483228
english,UWB,0.24281226301339545
english,UG_Student_Intern,-0.01861402602202299
english,temporal_attention,0.2850198634200208
english,UWB,0.08121406258016399
english,UG_Student_Intern,0.046238663366808694
english,temporal_attention,0.5874681461090695
english,UWB,0.3260418570736511
english,UG_Student_Intern,0.018376904671423968
english,temporal_attention,0.42539570297464
english,UWB,0.01363447765944359
english,UG_Student_Intern,-0.02276364965750582
english,temporal_attention,0.44483965372375955
english,UWB,-0.09105459863002328
english,UG_Student_Intern,-0.1274527259469727
english,temporal_attention,0.40784872303031267
english,UWB,-0.05086252970348957
english,UG_Student_Intern,0.031062896928471487
english,temporal_attention,0.4174521377295729
english,UWB,0.24565771922058366
english,UG_Student_Intern,0.01659849454193133
english,temporal_attention,0.45207185491702967
english,UWB,0.0711364051797057
english,UG_Student_Intern,0.03165570030496903
english,temporal_attention,0.35840892143041714
english,UWB,0.18341336468834119
english,UG_Student_Intern,0.036042445291050884
english,temporal_attention,0.33647519650000796
english,UWB,0.21850732457699598
english,UG_Student_Intern,0.0013041674282946044
english,temporal_attention,0.41401387814588714
english,UWB,0.10717885047075658
english,UG_Student_Intern,0.12093188880549968
english,temporal_attention,0.42409153554634543
english,UWB,0.07493034678928999
english,UG_Student_Intern,0.0639042039864356
english,temporal_attention,0.29865434107946437
english,UWB,0.2047542862422529
english,UG_Student_Intern,0.037465173394644995
english,temporal_attention,0.47661391470402814
english,UWB,-0.007113640517970568
english,UG_Student_Intern,-0.08429664013795125
english,temporal_attention,0.3280573885537427
english,UWB,0.12318454163619037
english,UG_Student_Intern,0.17795957362456374
english,temporal_attention,0.23889976072851163
english,UWB,0.012211749555849478
english,UG_Student_Intern,0.07315193665979736
english,temporal_attention,0.4061888735761195
english,UWB,0.299958508507759
english,UG_Student_Intern,0.1486750868255849
english,temporal_attention,0.1525875891104687
english,UWB,0.19977473787967348
english,UG_Student_Intern,0.02300077100810484
english,temporal_attention,0.2985357804041649
english,UWB,0.004031062960183323
english,UG_Student_Intern,0.03260418570736511
english,temporal_attention,0.36172862033880343
english,UWB,0.043630328510219495
english,UG_Student_Intern,0.012923113607646534
english,temporal_attention,0.23889976072851163
english,UWB,-0.04149623635482832
english,UG_Student_Intern,0.04066631162773175
english,temporal_attention,0.30043275120895707
english,UWB,-0.020985239528013178
english,UG_Student_Intern,-0.016954176567829857
english,temporal_attention,0.2780247835773497
english,UWB,0.17155729715839024
english,UG_Student_Intern,0.1937281434393985
english,temporal_attention,0.10812733587315265
english,UWB,0.1598197903037388
english,UG_Student_Intern,0.08417807946265174
english,temporal_attention,0.06710534221952237
english,UWB,0.05050684767759104
english,UG_Student_Intern,0.18981564115451469
english,temporal_attention,0.2960460062228752
english,UWB,0.1974035243736833
english,UG_Student_Intern,-0.07421898273749294
english,temporal_attention,0.46819610675776296
english,UWB,0.19289821871230192
english,UG_Student_Intern,0.10587468304246196
english,temporal_attention,0.4476851099309478
english,UWB,0.07350761868569589
english,UG_Student_Intern,0.11666370449471734
english,temporal_attention,0.2790918296550453
english,UWB,0.05975458035095279
english,UG_Student_Intern,0.06959511640081206
english,temporal_attention,0.369079382207373
english,UWB,0.21471338296741166
english,UG_Student_Intern,0.09508566159020661
english,temporal_attention,0.3491611887570555
english,UWB,0.02051099682681514
english,UG_Student_Intern,0.06366708263583659
english,temporal_attention,0.31726836710148737
english,UWB,0.1399015968534212
english,UG_Student_Intern,0.032485625032065604
english,temporal_attention,0.28644259152361495
english,UWB,0.07066216247850765
english,UG_Student_Intern,0.04979548362579399
english,temporal_attention,0.4325093434926106
english,UWB,0.14950501155268148
english,UG_Student_Intern,0.013041674282946043
english,temporal_attention,0.29972138715715996
english,UWB,0.2140020189156146
english,UG_Student_Intern,0.16645918812051133
english,temporal_attention,0.168474719600603
english,UWB,0.025490545189394538
english,UG_Student_Intern,0.16053115435553583
english,temporal_attention,0.37334756651815537
english,UWB,0.13824174739922807
english,UG_Student_Intern,0.047187148769204774
english,temporal_attention,0.2962831275734742
english,UWB,0.00687651916737155
english,UG_Student_Intern,-0.011144703478153892
english,temporal_attention,0.24565771922058363
english,UWB,0.23901832140381116
english,UG_Student_Intern,-0.031892821655568046
english,temporal_attention,0.41235402869169396
english,UWB,0.24684332597357875
english,UG_Student_Intern,-0.02276364965750582
english,temporal_attention,0.22182702348538225
english,UWB,0.2533641631150518
english,UG_Student_Intern,0.07291481530919833
english,temporal_attention,0.1971664030230843
english,UWB,0.036279566641649906
english,UG_Student_Intern,0.04766139147040282
english,temporal_attention,0.30861343780462325
