Language,Model,Spearman's Rho
german,UG_Student_Intern,-0.07316959584418092
german,temporal_attention,0.14497916202583058
german,UWB,0.37340974414457834
german,UG_Student_Intern,0.049505079716137275
german,temporal_attention,0.09346123840914708
german,UWB,0.27254994437126123
german,UG_Student_Intern,-0.11222964775207825
german,temporal_attention,0.20242681497115034
german,UWB,0.3147652650962311
german,UG_Student_Intern,0.06027651464338473
german,temporal_attention,0.0988469558727708
german,UWB,0.4726375083228579
german,UG_Student_Intern,-0.028125413421146127
german,temporal_attention,0.13018203929749067
german,UWB,0.4651301445856854
german,UG_Student_Intern,0.060820526508397234
german,temporal_attention,0.1214778494572907
german,UWB,0.3745521690611046
german,UG_Student_Intern,0.07322399703068216
german,temporal_attention,0.1447615572798256
german,UWB,0.2784796736998975
german,UG_Student_Intern,-0.054836395993259755
german,temporal_attention,0.040039273264919815
german,UWB,0.3720497144820471
german,UG_Student_Intern,0.0989557582457733
german,temporal_attention,0.1506368854219606
german,UWB,0.3961494401021007
german,UG_Student_Intern,0.007942573229182464
german,temporal_attention,0.1206074304732707
german,UWB,0.4123609936794732
german,UG_Student_Intern,0.03345672969826861
german,temporal_attention,0.16004829068667678
german,UWB,0.31530927696124356
german,UG_Student_Intern,0.1655972117098043
german,temporal_attention,0.0988469558727708
german,UWB,0.22902899517026146
german,UG_Student_Intern,0.07425761957420593
german,temporal_attention,0.2101517834543278
german,UWB,0.37607540228313957
german,UG_Student_Intern,0.112610456057587
german,temporal_attention,0.1391582350701969
german,UWB,0.4002839302761957
german,UG_Student_Intern,0.0342183463092861
german,temporal_attention,0.19546346309899038
german,UWB,0.38069950313574574
german,UG_Student_Intern,0.0223044864655124
german,temporal_attention,0.10853036706999328
german,UWB,0.46447733034767047
german,UG_Student_Intern,-0.01332829069280619
german,temporal_attention,0.18012232850563792
german,UWB,0.12729877641292442
german,UG_Student_Intern,-0.13230368557103941
german,temporal_attention,0.11217524656557701
german,UWB,0.27331156098227877
german,UG_Student_Intern,0.013709098998314939
german,temporal_attention,0.18088394511665545
german,UWB,0.3577966036187196
german,UG_Student_Intern,0.0011424249165262448
german,temporal_attention,0.11451449758513074
german,UWB,0.31634289950476735
german,UG_Student_Intern,0.011641853911267448
german,temporal_attention,0.08872833518353836
german,UWB,0.22734255838872275
german,UG_Student_Intern,0.05037549870015728
german,temporal_attention,0.20155639598713035
german,UWB,0.40942332960840566
german,UG_Student_Intern,-0.016864367815387422
german,temporal_attention,0.1552609862745668
german,UWB,0.2918623655792049
german,UG_Student_Intern,0.10717033740746203
german,temporal_attention,0.0799153429703359
german,UWB,0.27184272894674505
german,UG_Student_Intern,0.030301460881196115
german,temporal_attention,0.2315858509358202
german,UWB,0.3315752317251172
german,UG_Student_Intern,0.03661199851534108
german,temporal_attention,0.16151712272221053
german,UWB,0.32749514273752356
german,UG_Student_Intern,-0.021162061548986155
german,temporal_attention,0.20057717463010785
german,UWB,0.36503196142338584
german,UG_Student_Intern,0.050701905819164776
german,temporal_attention,0.18246157952519165
german,UWB,0.4416832332036468
german,UG_Student_Intern,0.046785020391074794
german,temporal_attention,0.1585250574646418
german,UWB,0.546514319591555
german,UG_Student_Intern,0.07724968483177465
german,temporal_attention,0.09590929180170334
german,UWB,0.36851363735946585
german,UG_Student_Intern,0.08203698924388463
german,temporal_attention,0.1929610085199329
german,UWB,0.3172677196752886
german,UG_Student_Intern,-0.019094816461938665
german,temporal_attention,0.15705622542910808
german,UWB,0.3509420541195622
german,UG_Student_Intern,0.03117187986521611
german,temporal_attention,0.10657192435594827
german,UWB,0.1643459844202755
german,UG_Student_Intern,0.0907411790840846
german,temporal_attention,0.010336225435237456
german,UWB,0.21738714125899405
german,UG_Student_Intern,-0.03742801631285984
german,temporal_attention,0.18670487207228917
german,UWB,0.4886314571542253
german,UG_Student_Intern,0.09101318501659084
german,temporal_attention,0.010499428994741202
german,UWB,0.49379956987184404
german,UG_Student_Intern,0.0008704189840199961
german,temporal_attention,0.18518163885025415
german,temporal_attention,0.07534564330423091
german,temporal_attention,0.19132897292489542
german,temporal_attention,0.12534033369887945
german,temporal_attention,0.05587001853678349
